date,pre_close,open,high,low,close,volume,amt,adjfactor
2019/3/8,4191.7531,4097.1599,4180.5381,4021.5448,4021.7682,1.29E+11,1.18E+12,1
2019/3/11,4021.7682,4038.3885,4140.8761,4023.5066,4140.5576,98054765262,9.41E+11,1
2019/3/12,4140.5576,4173.2576,4240.3399,4143.7658,4198.2511,1.17E+11,1.13E+12,1
2019/3/13,4198.2511,4202.719,4202.719,4111.1263,4133.0621,1.07E+11,1.05E+12,1
2019/3/14,4133.0621,4106.5729,4144.7715,4024.5329,4060.255,85420135184,8.12E+11,1
2019/3/15,4060.255,4080.2796,4151.2713,4076.6969,4114.275,76234143387,7.50E+11,1
2019/3/18,4114.275,4127.8444,4222.9233,4096.6763,4222.9233,83664805213,8.32E+11,1
2019/3/19,4222.9233,4226.7471,4243.5166,4196.6538,4221.8907,78188758167,7.75E+11,1
2019/3/20,4221.8907,4214.4639,4234.392,4156.7225,4221.3026,80894329951,7.80E+11,1
2019/3/21,4221.3026,4226.0468,4278.0506,4214.4287,4246.9516,92918437306,8.85E+11,1
2019/3/22,4246.9516,4246.7056,4259.0834,4186.0829,4254.6575,83167425693,8.01E+11,1
2019/3/25,4254.6575,4186.1811,4245.2108,4175.319,4183.1487,84015759456,8.19E+11,1
2019/3/26,4183.1487,4204.286,4214.1449,4091.891,4102.656,80145820289,7.68E+11,1
2019/3/27,4102.656,4127.2358,4139.7307,4074.9974,4139.7307,66775749366,6.64E+11,1
2019/3/28,4139.7307,4123.6533,4160.1416,4099.1061,4102.166,65278193752,6.63E+11,1
